contig,bin
k141_9779753,metabat2bin_998
k141_12310662,metabat2bin_999
k141_13581122,metabat2bin_1000
k141_13771951,metabat2bin_1001
k141_13219451,metabat2bin_1002
k141_7981766,metabat2bin_1003
k141_16130150,metabat2bin_1004
k141_5816191,metabat2bin_1005
k141_5082091,metabat2bin_1006
k141_8701492,metabat2bin_1007
k141_11968929,metabat2bin_1007
k141_14138008,metabat2bin_1007
k141_3824080,metabat2bin_1007
k141_2920126,metabat2bin_1007
k141_6003813,metabat2bin_1007
k141_17812032,metabat2bin_1007
k141_11278269,metabat2bin_1007
k141_768016,metabat2bin_1007
k141_6589868,metabat2bin_1007
k141_11089311,metabat2bin_1002
k141_4220039,metabat2bin_1002
k141_12018073,metabat2bin_1002
k141_13664431,metabat2bin_1002
k141_15110729,metabat2bin_1002
k141_15113149,metabat2bin_1002
k141_17451201,metabat2bin_1002
k141_5175640,metabat2bin_1002
k141_10425776,metabat2bin_1002
k141_13483642,metabat2bin_1002
k141_7923965,metabat2bin_1002
k141_17885444,metabat2bin_1002
k141_9378124,metabat2bin_1002
k141_16950214,metabat2bin_1002
k141_12619868,metabat2bin_998
k141_2297248,metabat2bin_998
k141_10997165,metabat2bin_998
k141_12653549,metabat2bin_998
k141_13712832,metabat2bin_998
k141_7557981,metabat2bin_998
k141_5235783,metabat2bin_998
k141_9551541,metabat2bin_998
k141_12957815,metabat2bin_998
k141_7763690,metabat2bin_998
k141_6481094,metabat2bin_998
k141_14983216,metabat2bin_998
k141_13185996,metabat2bin_998
k141_170729,metabat2bin_998
k141_9740516,metabat2bin_998
k141_15184748,metabat2bin_998
k141_11387916,metabat2bin_998
k141_13525039,metabat2bin_998
k141_2172141,metabat2bin_999
k141_16632017,metabat2bin_999
k141_1423489,metabat2bin_999
k141_15384136,metabat2bin_999
k141_1986802,metabat2bin_999
k141_9012705,metabat2bin_999
k141_2311475,metabat2bin_999
k141_6983662,metabat2bin_999
k141_4859525,metabat2bin_999
k141_17353298,metabat2bin_999
k141_13624046,metabat2bin_999
k141_5316527,metabat2bin_999
k141_2014371,metabat2bin_999
k141_4775224,metabat2bin_999
k141_12342798,metabat2bin_999
k141_2700173,metabat2bin_999
k141_6697826,metabat2bin_999
k141_3441829,metabat2bin_1001
k141_5792963,metabat2bin_1001
k141_17051077,metabat2bin_1001
k141_2956724,metabat2bin_1001
