#                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                     accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#             ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
metabat2bin.855_k141_9209062_4    -          DNApolB              -           2.1e-260  874.0   0.0  2.4e-260  873.8   0.0   1.0   1   0   0   1   1   1   1 -
metabat2bin.324_k141_14469719_2   -          DNApolB              -           9.5e-260  871.9   1.4  1.2e-259  871.5   1.4   1.0   1   0   0   1   1   1   1 -
metabat2bin.1030_k141_7389137_3   -          DNApolB              -           2.2e-257  864.1  39.7  1.8e-160  543.3  18.3   3.1   3   0   0   3   3   3   3 -
metabat2bin.360_k141_16399699_4   -          DNApolB              -           7.7e-257  862.2   3.2  1.1e-256  861.7   3.2   1.2   1   0   0   1   1   1   1 -
metabat2bin.1056_k141_10994781_8  -          DNApolB              -           1.5e-256  861.2  45.7  5.1e-160  541.8  21.0   3.1   3   0   0   3   3   3   3 -
metabat2bin.410_k141_16867882_6   -          DNApolB              -           1.3e-255  858.2  76.5  3.2e-103  353.9  18.9   4.6   4   1   1   5   5   4   4 -
metabat2bin.360_k141_9441457_10   -          DNApolB              -           1.8e-253  851.1   0.2  2.3e-253  850.8   0.2   1.0   1   0   0   1   1   1   1 -
metabat2bin.267_k141_8478025_11   -          DNApolB              -           6.2e-250  839.4  43.1   9.1e-95  325.9  12.7   4.2   4   0   0   4   4   4   4 -
metabat2bin.55_k141_10922905_6    -          DNApolB              -           8.4e-249  835.6  46.7   1.8e-92  318.3  13.5   4.4   3   1   1   4   4   4   4 -
metabat2bin.630_k141_17217716_5   -          DNApolB              -           9.3e-249  835.5   1.3  8.4e-247  829.0   1.3   2.0   1   1   0   1   1   1   1 -
metabat2bin.1013_k141_14936323_13 -          DNApolB              -           2.2e-248  834.2  44.1  9.7e-169  570.7  20.7   4.5   3   2   0   3   3   3   3 -
metabat2bin.312_k141_8686470_7    -          DNApolB              -           3.8e-248  833.5  39.9  3.2e-167  565.7  16.8   4.3   3   2   0   3   3   3   3 -
metabat2bin.757_k141_14381706_17  -          DNApolB              -           1.2e-247  831.8  34.0  2.4e-164  556.2  14.8   4.3   4   1   0   4   4   4   4 -
metabat2bin.86_k141_6218514_14    -          DNApolB              -           1.5e-247  831.5  41.4  1.3e-168  570.3  17.0   4.3   3   2   0   3   3   3   3 -
metabat2bin.923_k141_4814154_7    -          DNApolB              -           1.9e-247  831.2   5.8  8.3e-246  825.7   5.8   2.0   1   1   0   1   1   1   1 -
metabat2bin.482_k141_10033579_7   -          DNApolB              -           4.7e-247  829.9  45.3    4e-165  558.7  22.5   4.1   2   2   0   3   3   3   3 -
metabat2bin.126_k141_15831910_4   -          DNApolB              -           9.2e-247  828.9  10.0  6.1e-246  826.2  10.0   1.8   1   1   0   1   1   1   1 -
metabat2bin.34_k141_5353615_3     -          DNApolB              -           1.5e-246  828.1  26.3  1.3e-165  560.4  11.1   4.3   3   2   0   3   3   3   3 -
metabat2bin.188_k141_6496763_2    -          DNApolB              -             5e-246  826.5  35.7  2.1e-168  569.6  12.7   4.8   4   1   0   4   4   4   4 -
metabat2bin.1010_k141_4355486_4   -          DNApolB              -           1.7e-245  824.7  24.5  1.9e-187  632.6  11.6   3.4   3   1   0   3   3   3   3 -
metabat2bin.268_k141_17412366_1   -          DNApolB              -           2.5e-245  824.2  41.8  5.8e-114  389.4   9.5   3.9   3   1   0   3   3   3   3 -
metabat2bin.923_k141_4747167_3    -          DNApolB              -           2.8e-245  824.0   8.9  1.7e-243  818.1   8.9   2.0   1   1   0   1   1   1   1 -
metabat2bin.933_k141_4747764_5    -          DNApolB              -           2.1e-244  821.1  49.9  4.6e-165  558.6  17.2   4.4   3   1   0   3   3   3   3 -
metabat2bin.266_k141_6687984_17   -          DNApolB              -           2.4e-244  820.9  49.3  8.1e-168  567.7  18.0   4.8   3   2   0   3   3   3   3 -
metabat2bin.265_k141_13218948_2   -          DNApolB              -           3.5e-244  820.4  35.5  4.4e-168  568.6  12.8   4.0   3   1   0   3   3   3   3 -
metabat2bin.319_k141_3319933_6    -          DNApolB              -             1e-243  818.8  42.4  9.1e-167  564.2  11.2   4.6   3   2   1   4   4   4   3 -
metabat2bin.910_k141_7330177_15   -          DNApolB              -             2e-242  814.6   0.7  7.7e-184  620.7   0.3   2.1   2   0   0   2   2   2   2 -
metabat2bin.1091_k141_1230163_2   -          DNApolB              -           4.5e-242  813.4  46.3  2.7e-164  556.0  16.0   3.4   3   0   0   3   3   3   3 -
metabat2bin.753_k141_14371543_2   -          DNApolB              -           2.2e-241  811.1  29.8  5.4e-164  555.0  13.5   4.8   3   3   0   3   3   3   3 -
metabat2bin.200_k141_764077_13    -          DNApolB              -           8.8e-241  809.1  32.8  1.3e-160  543.9  12.0   4.8   3   2   1   4   4   4   4 -
metabat2bin.64_k141_15875154_8    -          DNApolB              -           1.6e-240  808.2  44.1   3.4e-87  300.9   0.9   6.1   4   1   1   6   6   6   6 -
metabat2bin.632_k141_16884319_4   -          DNApolB              -           8.7e-240  805.8  49.4  1.2e-166  563.8  25.4   4.5   3   2   0   3   3   3   3 -
